,user,trial,task,action_type,x,y,sx,sy,tx,ty,distance,width,height,direction,timestamp,is_valid,is_success,start_time,movement_time,dx,mean_dx,std_dx,ID_list,WD_pairs_code,mean_time,std_time,variance_time,ID_square_list
3471,7,7,18,MOUSE_PRESSED,142.875,104.14,263,105,143,105,120,6,-1,0,1583535253229,1,1,1583535252372,857,-0.125000000000028,0.021306306306283,1.95547247614021,4.39231742277876,4,907.983783783784,222.655435550713,49575.4429802776,19.2924523424459
3472,7,8,18,MOUSE_PRESSED,265.218333333333,100.118333333333,143,105,263,105,120,6,-1,0,1583535254195,1,1,1583535253229,966,2.21833333333331,0.021306306306283,1.95547247614021,4.39231742277876,4,907.983783783784,222.655435550713,49575.4429802776,19.2924523424459
3473,7,9,18,MOUSE_PRESSED,143.51,103.081666666667,263,105,143,105,120,6,-1,0,1583535255268,1,1,1583535254195,1073,0.509999999999991,0.021306306306283,1.95547247614021,4.39231742277876,4,907.983783783784,222.655435550713,49575.4429802776,19.2924523424459
3474,7,10,18,MOUSE_PRESSED,263.948333333333,102.235,143,105,263,105,120,6,-1,0,1583535256421,1,1,1583535255268,1153,0.948333333333324,0.021306306306283,1.95547247614021,4.39231742277876,4,907.983783783784,222.655435550713,49575.4429802776,19.2924523424459
3475,7,2,32,MOUSE_PRESSED,93.7683333333333,107.738333333333,308,105,98,105,210,10,-1,0,1583535261707,1,1,1583535260693,1014,-4.23166666666668,-1.26932407407409,16.2375891036044,4.4594316186373,18,925.466292134832,196.458365342935,38595.889313218,19.8865303613021
3476,7,3,32,MOUSE_PRESSED,308.821666666667,106.891666666667,98,105,308,105,210,10,-1,0,1583535262669,1,1,1583535261707,962,0.821666666666658,-1.26932407407409,16.2375891036044,4.4594316186373,18,925.466292134832,196.458365342935,38595.889313218,19.8865303613021
3477,7,4,32,MOUSE_PRESSED,102.446666666667,103.081666666667,308,105,98,105,210,10,-1,0,1583535263797,1,1,1583535262669,1128,4.44666666666666,-1.26932407407409,16.2375891036044,4.4594316186373,18,925.466292134832,196.458365342935,38595.889313218,19.8865303613021
3478,7,5,32,MOUSE_PRESSED,303.53,96.3083333333333,98,105,308,105,210,10,-1,0,1583535264876,1,1,1583535263797,1079,-4.47000000000003,-1.26932407407409,16.2375891036044,4.4594316186373,18,925.466292134832,196.458365342935,38595.889313218,19.8865303613021
3479,7,6,32,MOUSE_PRESSED,97.3666666666667,97.155,308,105,98,105,210,10,-1,0,1583535265917,1,1,1583535264876,1041,-0.63333333333334,-1.26932407407409,16.2375891036044,4.4594316186373,18,925.466292134832,196.458365342935,38595.889313218,19.8865303613021
3480,7,7,32,MOUSE_PRESSED,305.011666666667,96.7316666666666,98,105,308,105,210,10,-1,0,1583535266949,1,1,1583535265917,1032,-2.98833333333334,-1.26932407407409,16.2375891036044,4.4594316186373,18,925.466292134832,196.458365342935,38595.889313218,19.8865303613021
3481,7,8,32,MOUSE_PRESSED,103.928333333333,98.6366666666667,308,105,98,105,210,10,-1,0,1583535268098,1,0,1583535266949,1149,5.92833333333333,-1.26932407407409,16.2375891036044,4.4594316186373,18,925.466292134832,196.458365342935,38595.889313218,19.8865303613021
3482,7,8,32,MOUSE_PRESSED,307.128333333333,94.4033333333333,98,105,308,105,210,10,-1,0,1583535269612,1,1,1583535268630,982,-0.87166666666667,-1.26932407407409,16.2375891036044,4.4594316186373,18,925.466292134832,196.458365342935,38595.889313218,19.8865303613021
